BRANCH,COUNCIL
KITALE,MOMBASA
KITASE,PEDUASE
KK2 SHEMEN,DAWHENYA
KLAGON,HEALING JESUS CATHEDRAL
KLAGON ASHAIMAN CHAPEL SQUARE CCL,ASHAIMAN CHAPEL SQUARE
KLEDZO,HOHOE
KLEFE,HO
KLIPGAT,PRETORIA
KNUST SHALOM,FIRST LOVE
KODIE,ASOKWA
KOFI GYAN,TARKWA
KOFI KWEI,AYAWASO
KOFORIDUA ADWESO,KOFORIDUA
KOGBO,QADOSH
KOHIYILI,TAMALE
KOJO OKU,NYANYANOR KAKRABA
KOJOBONI,TAMALE NORTH
KOJOKROM,SEKONDI
KOKOBEN,BANTAMA
KOKOBRA,ASOKWA
KOKOMLEMLE,AYAWASO
KOKOMPE CENTER,SANTA MARIA
KOKOTI,BANTAMA
KOKROBITE,GREATER LOVE
KOKROBITE C30,GREATER LOVE
KOKROBITE FARM,GREATER LOVE
KOKROBITE FULANI C9,GREATER LOVE
KOKUMA,KINTAMPO
KOLKOTA,PUNE
KOLN,EDMONTON
KOLPELGO,BAWKU
KOMENDA,CAPE COAST
KONARE,TAMALE
KONFOEKO,SEKONDI
KONKONNURU,PEDUASE
KONO,QADOSH
KONONGO LOWCOST,AYAWASO2
KONONGO ODUMASE,AYAWASO2
KORADASO,KOFORIDUA
KORLE GONNO CATHEDRAL,KORLE GONNO
KORLE GONNO CENTER,KORLE GONNO
KORLE NKWANTA,KOFORIDUA
KORLE-BU DANSUMAN HI,GREATER LOVE
KORMAIM,CAPE COAST
KORMANTSE,CAPE COAST
KORPELLA,BOLGATANGA
KORPEYIA,SOGAKOPE
KOTEI,BANTAMA
KOTEI CENTRE,AYEDUASE
KOTOBABI,AYAWASO
KOTOBABI EBONY,AYAWASO
KOTWI,ATONSU
KPABOKU,TAMALE
KPAGURI,WA
KPALGAGBINI,TAMALE
KPALIME,KPALIME
KPALSI,TAMALE NORTH
KPALSORGU,TAMALE NORTH
KPALUGU CENTER,BAWKU
KPALUGU NO.2,BAWKU
KPALWEGA JHS,BAWKU
KPALWEGA SAVED CHURCH,BAWKU
KPANDAI,TAMALE NORTH
KPANDAI NEWTOWN,TAMALE NORTH
KPANDO,KPANDO
KPANDO ABANU,KPANDO
KPANDO AZIAVI,KPANDO
KPANDO TORKOR,KPANDO
KPARISAGA,WA
KPASSA,KETE-KRACHI
KPATURI,TAMALE NORTH
KPEDZE,HO
KPENOE,HO
KPENTAUNG,TAMALE NORTH
KPETOE,HO
KPEVE,KPANDO
KPOBIKORPE,AYAWASO
KPOBIKORPE NORTH,AYAWASO
KPOBIMAN CENTER,ACHIMOTA
KPOETA,HOHOE
KPONE FARMS,TEMA
KPONE KOKOMPE,DAWHENYA
KPONE SCHOOL JUNCTION,DAWHENYA
KPONE SHALOM ESTATE,DAWHENYA
KPONE ST MICHAEL,DAWHENYA
KPONE-BAWALESHIE,OYIBI
KPONG,DAWHENYA
KPONG LORLORNYO,DAWHENYA
KPONG QUARTERS,DAWHENYA
KPONG ZONGO,DAWHENYA
KPOTAME,SOGAKOPE
KRAAIFONTEIN,CAPE TOWN
KRABOA COALTAR,AYAWASO2
KRABONSO,KINTAMPO
KRABONSO ROAD,KINTAMPO
KRISPOL CITY,NYANYANOR KAKRABA
KRISPOL CITY AA,OFAAKOR
KROBO ODUMASE,DAWHENYA
KROFROM,SUNYANI
KROMOASE,BANTAMA
KRONUM,ASOKWA
KRONUM BTM,BANTAMA
KRUPIASE-DROBO,BEREKUM
KRUTAKYI,KINTAMPO
KUDZEKOPE,SOGAKOPE
KUDZRA,KPANDO
KUKA-ZULI,BAWKU
KUKORE,BOLGATANGA
KUKPAL-GBINI,KINTAMPO
KUKPALIGU,TAMALE
KUKUOM,SUNYANI
KUKURANTUMI,KOFORIDUA
KULKPENI,TAMALE NORTH
KUMAWU,AYAWASO2
KUMBA,FIRST LOVE
KUMBUNGU,TAMALE NORTH
KUMTUMBIYILE,TAMALE
KUMUDI,TAMALE NORTH
KUNTANASE,ATONSU
KUNTANASE CENTER,CAPE COAST
KUNTUNSE SATELLITE,AYAWASO
KUSANABA,BOLGATANGA
KUSIJAN,WA
KUTUNSE,AYAWASO
KUTUNSE AYAWASO,AYAWASO
KUTUNSE SATELLITE,ABEKA
KUTUNSE-AKOTOSHIE,AYAWASO
KUTUNSE-SARPEIMAN,AYAWASO
KUTUNSE-TREBA,AYAWASO
KWABEN,TARKWA
KWABENG,AYAWASO2
KWABENYA,BEREKUSO
KWABENYA ABUOM JUNCTION,BEREKUSO
KWABENYA CENTER,ACHIMOTA
KWADASO,ATONSU
KWAHU BEPONG,AYAWASO2
KWAHU OBOMENG,AYAWASO2
KWAHU OBOO,AYAWASO2
KWAHU TAFO,AYAWASO2
KWAKUAE,KETE-KRACHI
KWALUSENI,MANZINI
KWAMAGXAKI,CAPE TOWN
KWAME DANSO BANTAMA,EJURA
KWAME DANSO KYEAMEKROM,EJURA
KWAME DANSO LEMU,EJURA
KWAME DANSO MISSION,EJURA
KWAME DANSO-NFRAMA,EJURA
KWAMLANGA,PRETORIA
KWAMO,BANTAMA
KWASHIEBU,SANTA MARIA
KWASHIEMAN ADDY JUNCTION,SANTA MARIA
KWASO,ATONSU
KWEIKUMA,TAKORADI
KWEIMAN,OYIBI
KWEIMAN MAIN,OYIBI
KWENDRUM,WINNEBA
KWESIMINTSIM,TAKORADI
KWESIMINTSIM ZONGO,TAKORADI
KYEKYEWERE,ATONSU
KYEREMANKOMA,KINTAMPO
LA CHAUX DE FONDS,BARCELONA
LA EMAUSE,TESHIE
LA HAVANA PARK,TESHIE
LA KOJO SARDIN,TESHIE
LA LANTE GEORGE,TESHIE
LA LUU,TESHIE
LA MAAMLI,TESHIE
LA PRESEC,KORLE GONNO
LA TRADE FAIR,TESHIE
LA WIRELESS,TESHIE
LABANON CENTER,TEMA
LA-BAWALESHIE,OYIBI
LABIKON,TAMALE NORTH
LABONE,MAKARIOS HQ
LADYWOOD,EDMONTON
LAE CITY,SYDNEY
LAGOS APARCHE,LAGOS
LAGOS NORTH AKUTE,LAGOS
LAGOS TOWN,TAKORADI
LAHAGU,TAMALE
LAISAA,BAWKU
LAKESIDE,OYIBI
LAKESIDE MKC,MAKARIOS HQ
LAMA KARA,KPALIME
LAMASHEGU,TAMALE NORTH
LAMBARENE,LA BELLE EGLISE
LAMBUSSIE,WA
LAMS,KINTAMPO
LANCASTER,LOS ANGELES
LANGMA,GREATER LOVE
LA-NKWANTANANG,OYIBI
LAPAZ,AYAWASO
LAPAZ MKC,MAKARIOS HQ
LAPAZ NEW MARKET,ABEKA
LARTEH,PEDUASE
LARTEH KUBEASE,PEDUASE
LAS CRUCES,LOS ANGELES
LAS VEGAS,LOS ANGELES
LASCALA MARKET,TESHIE
LASHIBI,HEALING JESUS CATHEDRAL
LATERBIOKORSHIE,KORLE GONNO
LATERBIOKOSHIE CENTER,KORLE GONNO
LAULANE,MAPUTO
LAUSANNE,BARCELONA
LAWRA,WA
LE GOSIER,FIRST LOVE
LEBANON ZONE 2,ASHAIMAN CHAPEL SQUARE
LEBOWAKGOMO,PRETORIA
LEEDS,EDMONTON
LEGON CAMPUS,OYIBI
LEGON MKC,MAKARIOS HQ
LEGON STAFF VILLAGE,OYIBI
LEICESTER,EDMONTON
LEICESTER CITY CENTRE,EDMONTON
LEKKI,LAGOS
LEKLEBI DUGA,KETE-KRACHI
LEKMA,LA
LEKMA BLOCK FACTORY,TESHIE
LEO 2000,LOME
LEOMINSTER,LOS ANGELES
LEPHALALE,PRETORIA
LEPUSI,TAMALE NORTH
LETHBRIDGE,LOS ANGELES
LETHEM,GEORGETOWN
LEXINGTON,LOS ANGELES
LEYTON,EDMONTON
LHI ABEOKUTA,LAGOS
LHI ABUJA,LAGOS
LHI CALABAR,LAGOS
LHI ENUGU,LAGOS
LIBERDADE,MAPUTO
LIBERTY CENTRE,AYEDUASE
LIBREVILLE,LA BELLE EGLISE
LIBYA QUARTERS,OYIBI
LIKPE,HOHOE
LIKPE-ABRANI,HOHOE
LILONGWE,FIRST LOVE
LIMBE,FIRST LOVE
LIMOUSINE,LOME
LION OF JUDAH CATHEDRAL,CAPE COAST
LIVERPOOL TOTTENHAM CCL,EDMONTON
LIVING STAR,ADENTA
LIVINGSTONE,FIRST LOVE
LOGAN TOWN,QADOSH
LOGBESSOU,FIRST LOVE
LOGOPE,LOME
LOHEGAON,PUNE
LOKPODZI,SOGAKOPE
LOLA,QADOSH
LOLOBI ASHIAMBI,HOHOE
LOME,LOME
LOMNAVA,ABEKA
LONDON APARCHE,EDMONTON
LOS ANGELES,LOS ANGELES
LOUGHBOROUGH,EDMONTON
LOUISVILLE,LOS ANGELES
LOWCOST SOGAKOPE CCL,SOGAKOPE
LOWELL,LOS ANGELES
LOWER VIRGINIA,QADOSH
LOYALTY HOUSE HQ,DAWHENYA
LUANDA APARCHE,MAPUTO
LUBUMBASHI,FIRST LOVE
LUKE CENTER,LAGOS
LUKE CENTRE,KORLE GONNO
LUMNAVA,OYIBI
LUNGI,QADOSH
LUNGNI,TAMALE NORTH
LUNGU,BAWKU
LUSAKA APARCHE,FIRST LOVE
LUSAKA FOXDALE,LUSAKA FOXDALE
LUSAKA WEST,LUSAKA FOXDALE
LUTON,EDMONTON
LUZERN,BARCELONA
LYBIA QUARTERS,ADENTA
LYON,BARCELONA
MAALAM JUNCTION,KORLE GONNO
MAAMOBI,MAKARIOS HQ
MAAMOBI WEST,AYAWASO
MAASE,KOFORIDUA
MABEDO,TAMALE NORTH
MABLETON,LOS ANGELES
MACENTA,QADOSH
MADINA,KPANDO
MADINA CENTER,ACHIMOTA
MADINA CENTRE,MAKARIOS HQ
MADINA ESTATES,MAKARIOS HQ
MADINA NO 3,OYIBI
MADRID,BARCELONA
MAFIKENG,MASERU
MAFI-KUMASE,HO
MAHAJANGA,FIRST LOVE
MAHLANYA,MANZINI
MAKA 1,LA BELLE EGLISE
MAKARIOS CATHEDRAL,MAKARIOS HQ
MAKARIOS CATHEDRAL-BISSAU,BISSAU
MAKENI,FIRST LOVE
MAKHAYA,CAPE TOWN
MAKHAZA,CAPE TOWN
MAKHAZA 40 SECTION,CAPE TOWN
MAKHAZA 41 SECTION,CAPE TOWN
MAKHAZA 44 SECTION,CAPE TOWN
MAKROTHUMIA CENTER,COTONOU
MALABO,GREATER LOVE
MALEJOR TAXI RANK,OYIBI
MALHANGALENE,MAPUTO
MALINDZA,MANZINI
MALLAM,NEW GBAWE
MALMESBURY,CAPE TOWN
MALMO,FIRST LOVE
MALSHEGU,TAMALE NORTH
MAM ACADEMY,OYIBI
MAMELODI,PRETORIA
MAMFAM,WINNEBA
MAMFE,PEDUASE
MAMPONG ASAAM,ASOKWA
MAMPONG BEPOSO,ASOKWA
MAMPONG BOANIM,ASOKWA
MAMPONG KOFIASE,ASOKWA
MAMPONG MAIN,ASOKWA
MAMPONG NSUTA,ASOKWA
MAMPONG ZONGO,ASOKWA
MAMPONG(AKWUAPIM),PEDUASE
MAMPONTENG,BANTAMA
MAMPONTENG PKO,BANTAMA
MAMPROBI,KORLE GONNO
MAMPROBI CENTER,KORLE GONNO
MAMPROBI EXTRA O,KORLE GONNO
MANAGUA,LOS ANGELES
MANASSAS,LOS ANGELES
MANCHESTER LAUREL CCL,LOS ANGELES
MANCHESTER TOTTENHAM CCL,EDMONTON
MANDARI,WA
MANDELA,MANDELA
MANDEVILLE,KINGSTON
MANDO,CAPE COAST
MANET CENTER,HEALING JESUS CATHEDRAL
MANGA,BAWKU
MANGOASE,KETE-KRACHI
MANGOASE ACHIMOTA CCL,BEREKUSO
MANGOASE TAMALE CCL,TAMALE
MANHATTAN,LOS ANGELES
MANHYIA ZONGO-GOASO,SUNYANI
MANJAIKUNDA,BAKAU
MANKATO,LOS ANGELES
MANKAYANE,MANZINI
MANKESSIM,CAPE COAST
MANKESSIM NANAANOM,CAPE COAST
MANKESSIM NETRO,CAPE COAST
MANKESSIM SABS,CAPE COAST
MANKESSIM-ESTATES,CAPE COAST
MANKOADZE,WINNEBA
MANKRANSO,BANTAMA
MANKRANSO SHS,BANTAMA
MANSA,LUSAKA FOXDALE
MANSO,AYAWASO2
MANSO AMENFI,TARKWA
MANSO ATWERE,OBUASI
MANTEY FARM,ADENTA
MANTILI,TAMALE
MANYA KPONGUNOR,DAWHENYA
MANZINI,MANZINI
MAPUTO APARCHE,MAPUTO
MARK CENTRE,KORLE GONNO
MARKET II,OYIBI
MAROUA,FIRST LOVE
MARRACUENE,MAPUTO
MARVERLY,KINGSTON
MASAKI,FIRST LOVE
MASALACHI A18,GREATER LOVE
MASERU,MASERU
MASIAKA,QADOSH
MASSAYA,LOS ANGELES
MASSAYA-FLORES,LOS ANGELES
MASSINGA,MAPUTO
MASTER SAM,CAPE COAST
MATAHEKO,KORLE GONNO
MATAHEKO CENTER,KORLE GONNO
MATAHEKO MARS,KORLE GONNO
MATHEW CENTER,KORLE GONNO
MATOLA A,MAPUTO
MATOLA FOMENTO,MAPUTO
MATTHEW CENTER,LAGOS
MAWULI ESTATE,HO
MAXAQUENE,MAPUTO
MAXAQUENE C,MAPUTO
MAXIMA CENTRE,AYEDUASE
MAXIXE-INHAMBANE,MAPUTO
MAYERA-DUNNYO,AYAWASO
MBABANE,MANZINI
M'BADON,OFAAKOR
MBAIKI,LA BELLE EGLISE
MBOWURA,TAMALE NORTH
MBUYA,NAIROBI
MCCARTHY HILL,NEW GBAWE
MEADOWLANDS,JOHANNESBURG
MEDICAL CITY,SOGAKOPE
MEDICAL VILLAGE NKWANTA CCL,KPANDO
MEDIE,AYAWASO
MEDUMA,BANTAMA
MELBOURNE,SYDNEY
MELUN,BARCELONA
MEM-CHEMFRE,KPANDO
MEME,TAMALE NORTH
MEMPEASEM,OYIBI
MEMPEASEM PALMLANDS,SEKONDI
MEMPHIS BARTLETT,LOS ANGELES
MENGO,NAIROBI
MENUSO,HOHOE
MENZEZOR,SEKONDI
MEPOM,AYAWASO2
MERIDIAN DOWN CENTER,TEMA
METHODIST C,AYAWASO2
METHODIST JUNCTION,DAWHENYA
MHLALENI,MANZINI
MIAMI,LOS ANGELES
MIAMI SOUTH,LOS ANGELES
MIDDLEBURG,PRETORIA
MIDDLESBOROUGH,EDMONTON
MIDRAND,JOHANNESBURG
MILANO,BARCELONA
MILE-50,KOFORIDUA
MILLENIUM CITY CENTER,NYANYANOR KAKRABA
MILLENNIUM CITY,AYAWASO2
MILNERTON,CAPE TOWN
MILTON KEYNES,EDMONTON
MIM,SUNYANI
MIMSHACK CENTER,ACHIMOTA
MINNEAPOLIS,LOS ANGELES
MISSIGA,BAWKU
MISSISSAUGA,LOS ANGELES
MITCHAM,EDMONTON
MKC LA NKWANTANANG,MAKARIOS HQ
MKC TESHIE,MAKARIOS HQ
MODENA,BARCELONA
MOLOTO,PRETORIA
MOMBASSA,MOMBASA
MONKRA,KETE-KRACHI
MONTEGO BAY 1,KINGSTON
MONTREAL,LOS ANGELES
MONZA,BARCELONA
MOREE,CAPE COAST
MORNING STAR,CAPE TOWN
MORRUMBENE,MAPUTO
MORTARA,BARCELONA
MOSTON,EDMONTON
MOTHERWELL,CAPE TOWN
MOUILA,LA BELLE EGLISE
MOUNT FRERE,CAPE TOWN
MOUNT ROSKILL,SYDNEY
MOUNTAIN VIEW,OFAAKOR
MPAKA,MANZINI
MPINTSIN,SEKONDI
MPOASE,KORLE GONNO
MPOHOR TAKORADI CCL,TAKORADI
MPOPHOMENI,PIETERMARITZBURG
MPRAESO,AYAWASO2
MPRAESO-AKROPONG,AYAWASO2
MPRAESO-ATIBIE APENTENG,AYAWASO2
MPRAESO-OLD RIDGE,AYAWASO2
MPRAESO-RAMSIER,AYAWASO2
MPRAESO-TECH,AYAWASO2
MR. SMITH,ADENTA
MT SINAI,KPANDO
MTHATHA-WEST,CAPE TOWN
MUBIDO,TAMALE NORTH
MUMFORD,WINNEBA
MUNICH,EDMONTON
MUNICIPAL ASSEMBLY,KINTAMPO
MURFREESBORO,LOS ANGELES
MUSINA,PRETORIA
MUTENDERE,LUSAKA FOXDALE
NABAYILI,TAMALE NORTH
NACHIMBIYA,TAMALE
NADI,SYDNEY
NADOWLI,WA
NAHUYILI,TAMALE
NAIROBI APARCHE,NAIROBI
NAIVASHA,MOMBASA
NAKORA,DAWHENYA
NAKPALE-BORLE,TAMALE
NAKPANDURI,TAMALE NORTH
NALERIGU,TAMALE NORTH
NAMPULA,MAPUTO
NANDOM,WA
NANKESE,NSAWAM
NANKESSIDO,CAPE COAST
NANORI,TAMALE NORTH
NANTE,KINTAMPO
NAPOLI,BARCELONA
NARANGO,BAWKU
NARANGSAAG,BAWKU
NASHVILLE,LOS ANGELES
NAYAGNIA,BOLGATANGA
NAYOKO,BAWKU
NAYOKO NO. 1,BAWKU
NDAKRO CENTER,OFAAKOR
N'DJAMENA,EDMONTON
NECHELLS,EDMONTON
NELLMAPIUS EXT 24,PRETORIA
NELSPRUIT,PRETORIA
NEUCHATEL,BARCELONA
NEW ABIREM,AYAWASO2
NEW ACHIMOTA,MAKARIOS HQ
NEW ACHIMOTA CENTER,ACHIMOTA
NEW ADENTA,MAKARIOS HQ
NEW AGOU,KETE-KRACHI
NEW AKRADE,DAWHENYA
NEW AMANFROM,OFAAKOR
NEW AMSTERDAM,GEORGETOWN
NEW ASHONGMAN,ACHIMOTA
NEW AYIKUMA,OYIBI
NEW AYOMA,HOHOE
NEW BAIKA,HOHOE
NEW BORTIANOR A8,GREATER LOVE
NEW BORTIANOR B9,GREATER LOVE
NEW CROSS GATE,EDMONTON
NEW EDUBIASE,OBUASI
NEW GBAWE,NEW GBAWE
NEW GEORGIA ESTATES,QADOSH
NEW HAVEN,LOS ANGELES
NEW LEGON,OYIBI
NEW LEGON MKC,MAKARIOS HQ
NEW LONGORO,WA
NEW MARKET CENTER,NYANYANOR KAKRABA
NEW NINGO,DAWHENYA
NEW NKUSUKUM,CAPE COAST
NEW NZELUZO,SEKONDI
NEW POWMU,TEMA COMMUNITY 22
NEW SANGVI,PUNE
NEW SAWMILLS,SWEDRU
NEW SEBREPOR,DAWHENYA
NEW SEBREPOR ANNEX,DAWHENYA
NEW SEBREPOR VILLA,DAWHENYA
NEW SOUTHGATE,EDMONTON
NEW TAFO,KOFORIDUA
NEW TAFO KINTAMPO,KINTAMPO
NEW TAIFA CENTER,ACHIMOTA
NEW TAKORADI,TAKORADI
NEW TAKORADI LOWER PARK,TAKORADI
NEW TAKORADI QUARTERS,TAKORADI
NEW TOWN CENTER,TECHIMAN
NEW TOWN-SUNYANI,SUNYANI
NEW WEIJA,NEW GBAWE
NEW WEIJA G2,GREATER LOVE
NEW YAKASE,TARKWA
NEWARK,LOS ANGELES
NEWBURGH,LOS ANGELES
NEWCASTLE,LOS ANGELES
NEWLAND AFIENYA,TEMA COMMUNITY 22
NEWTOWN SOGAKOPE CCL,SOGAKOPE
NGONG,MOMBASA
NGYIRESIA,SEKONDI
NHLANGANO,MANZINI
NIAMEY,LAGOS
NIMA,ACHIMOTA
NIMA ALASKA,MAKARIOS HQ
NINKOGO,BAWKU
NJOBILIBO,TAMALE
NJONANDO,TAMALE NORTH
NKANFOA,CAPE COAST
NKAWIE,BANTAMA
NKAWKAW,AYAWASO2
NKAWKAW AMANFROM,AYAWASO2
NKAWKAW- DANTENG,AYAWASO2
NKAWKAW- DOMEABRA,AYAWASO2
NKAWKAW- ODUMASE,AYAWASO2
NKAWKAW-ADOAGYIRE,AYAWASO2
NKAWKAW-APESIKA,AYAWASO2
NKAWKAW-ASUBONI,AYAWASO2
NKAWKAW-ASUOGYA,AYAWASO2
NKAWKAW-AYIGBE TOWN,AYAWASO2
NKAWKAW-NKWASEC,AYAWASO2
NKAWKAW-SDA SCHOOL,AYAWASO2
NKENKAASU,ASOKWA
NKONYA,KPANDO
NKORANSA,ATONSU
NKORANZA,TECHIMAN
NKORANZA-ASEKYE,TECHIMAN
NKROFUL,TAKORADI
NKURAKAN,KOFORIDUA
NKWABENG,TECHIMAN
NKWABENG SUNYANI CCL,SUNYANI
NKWANTA,KETE-KRACHI
NKWANTA DISTRICT ASSEMBLY,KETE-KRACHI
NKWANTA KPEVE,KETE-KRACHI
NKWANTANANG,AYAWASO2
NKWATIA,AYAWASO2
NMMU CAMPUS CHURCH,CAPE TOWN
NMMU NORTH CAMPUS,CAPE TOWN
NMMU SECOND AVENUE,CAPE TOWN
NMMU SOUTH CAMPUS,CAPE TOWN
NMTC NEWSITE,FIRST LOVE
NMTC NEWSITE-M,FIRST LOVE
NOEPE,KPALIME
NORTH CAMPUS,WINNEBA
NORTH DALLAS,LOS ANGELES
NORTH KANESHIE,MAKARIOS HQ
NORTH KENSINGTON,EDMONTON
NORTH LEGON,OYIBI
NORTH LEGON MKC,MAKARIOS HQ
NORTH OXFORD,EDMONTON
NORTH VANCOUVER,LOS ANGELES
NORTHAMPTON,EDMONTON
NORTHAMPTON WESTON FAVEL,EDMONTON
NORTHSHORE,SYDNEY
NORTON,LUSAKA FOXDALE
NORWICH,EDMONTON
NOTTINGHAM,EDMONTON
NOTTINGHAM HUCKNALL,EDMONTON
NOTTINGHAM LENTON,EDMONTON
NOVARA,BARCELONA
NOYEM,AYAWASO2
NSAKINA,OFAAKOR
NSANA ZONGO 1,KPANDO
NSANA ZONGO 2,KPANDO
NSAWAM,NSAWAM
NSAWAM - ADOAGYIRI,NSAWAM
NSAWAM - DOBRO,NSAWAM
NSAWAM BUNGALOW,NSAWAM
NSAWAM GARDENS,TESHIE
NSAWAM-AKWAMU,NSAWAM
NSAWKAW,SUNYANI
NSENIE,BANTAMA
NSUAEM,TARKWA
NSUATRE,BEREKUM
NSUKWAO,KOFORIDUA
NSUNFA,SOWUTUOM
NSUTA,TARKWA
NSUTA KOFORIDUA CCL,AYAWASO2
NTABETHEMBA,CAPE TOWN
NTANKOFUL,TAKORADI
NTANKORO ROAD,KINTAMPO
NTINDA,NAIROBI
NTOTOROSO,SUNYANI
NTOUM,LA BELLE EGLISE
NTRANOA,CAPE COAST
NUNGUA BANK ROAD,TESHIE
NUNGUA BEACH ROAD,HEALING JESUS CATHEDRAL
NUNGUA BUADE,HEALING JESUS CATHEDRAL
NUNGUA C5,TESHIE
NUNGUA CENTRAL,QADOSH
NUNGUA NORTH,HEALING JESUS CATHEDRAL
NURSES QUARTERS,OFAAKOR
NYABEMAN,AYAWASO
NYABEMAN-KPOBIKORPE,AYAWASO
NYAMBONG,KETE-KRACHI
NYAMBONG JUNCTION,KETE-KRACHI
NYAMEKROM KOFORIDUA CCL,KOFORIDUA
NYANIBA ESTATE,TESHIE
NYANIKROM,SEKONDI
NYANKAMU,TARKWA
NYANYANO KAKRABA,NYANYANOR KAKRABA
NYINAHINI,BIBIANI
NYINGARI,TAMALE NORTH
NYOHINI,TAMALE NORTH
NYOLI.,WA
NZEREKORE,QADOSH
NZILA,LA BELLE EGLISE
OBAAHEMA,ACHIMOTA
OBEYEYIE,AYAWASO
OBEYEYIE AA,OFAAKOR
OBOSOMASE,PEDUASE
OBUASI,OBUASI
ODENEHO KWADASO,BANTAMA
ODOBENG,OFAAKOR
ODORKOR,QODESH
ODORKOR ST DAVID,QODESH
ODORKOR ST MICHAELS,QODESH
ODORKOR TSUIMAAMI,SANTA MARIA
ODUMASE MAMPONG AKWENOR,DAWHENYA
ODUMASI- SUNYANI,SUNYANI
ODUOM,AYEDUASE
OFAAKOR,OFAAKOR
OFANKOR,AYAWASO
OFANKOR RAILWAYS,AYAWASO
OFANKOR SEVEN DAYS,AYAWASO
OFFICIAL TOWN CENTER,TEMA
OFFINSO,BANTAMA
OFFINSO MPEHI,BANTAMA
OFFINSO OLD TOWN,BANTAMA
OFORIKROM,ASOKWA
OGBOJO,MAKARIOS HQ
OGBOMOSO,LAGOS
OGBUNJA,TAMALE
OHENE GYAN,SUNYANI
OHWEREFA,CAPE COAST
OJOJA,TAMALE
OKAHANDJA,MANZINI
OKAKARARA,MANZINI
OKLAHOMA CITY,LOS ANGELES
OKORASE,KOFORIDUA
OKPANDO,TAMALE NORTH
OKPOI GONNO,HEALING JESUS CATHEDRAL
OKPOIGONNO RAILWAY,HEALING JESUS CATHEDRAL
OKURASE,AYAWASO2
OKYEREKO,WINNEBA
OLA,CAPE COAST
OLD ASHONGMAN,OYIBI
OLD BARRIER B38,GREATER LOVE
OLD BRIDGE,LOS ANGELES
OLD ESTATE,KOFORIDUA
OLD HARBOUR,KINGSTON
OLD NINGO,TEMA
OLD TAFO,KOFORIDUA
OLDTOWN,BIBIANI
OLEBU,AYAWASO
OLIVEN,PRETORIA
OLTEN,BARCELONA
OLYMPIC WAY,KINGSTON
OMAHA,LOS ANGELES
OMANDJOR,SOWUTUOM
OMANJOR CURVE,SOWUTUOM
OMEGA,MANDELA
OMENAKO,NSAWAM
ONGWEDIVA,MANZINI
ONYADZE,WINNEBA
ONYINASE,AWOSHIE
OPAH,AYAWASO
OPEIKUMA,OFAAKOR
OPEIKUMA CENTER,OFAAKOR
OPEN HEAVENS CENTER,NYANYANOR KAKRABA
ORCHARDS,PRETORIA
ORISCO,KORLE GONNO
ORLANDO,LOS ANGELES
ORMONDE,JOHANNESBURG
OSCAR YAAR CENTER,OUAGADOUGOU
OSENASE,AYAWASO2
OSHIEKU-TSO SHI,TESHIE
OSHIYIE C17,GREATER LOVE
OSIEM,KOFORIDUA
OSINO,AYAWASO2
OSRAMANAE,KETE-KRACHI
OSU,TESHIE
OSU KAAJANOR,TESHIE
OSU MANDELA,TESHIE
OSU MKC,MAKARIOS HQ
OSU SALEM,TESHIE
OTACITY,NYANYANOR KAKRABA
OTENGKWATA,BANTAMA
OTINIBI,OYIBI
OTJIWARONGO,MANZINI
OTJOMUISE,MANZINI
OUAGADOUGOU,OUAGADOUGOU
OWANE,CAPE COAST
OWERRI,LAGOS
OWINGS MILLS,LOS ANGELES
OWURAM,AYAWASO2
OWUSU ANSAH,ADENTA
OXFORD,EDMONTON
OYARIFA,OYIBI
OYARIFA ADENTA CCL,ADENTA
OYARIFA MKC,MAKARIOS HQ
OYARIFA SCHOOL JUNCTION,ADENTA
OYIBI CATHEDRAL,OYIBI
OYIBI JUNCTION,OYIBI
OYOKO,BANTAMA
OYOKO BANTAMA CCL,BANTAMA
OYOKO KOFORIDUA CCL,KOFORIDUA
PAGA,BOLGATANGA
PAGA CHANIA,BOLGATANGA
PAGA SAAKA,BOLGATANGA
PAKRO,NSAWAM
PAKYI,ATONSU
PALAS TOWN,AWOSHIE
PALLADIUM,KORLE GONNO
PALM SPRING PAYNESVILL,QADOSH
PALM WINE,TESHIE
PALOMA,HOHOE
PAMDU TECHIMAN,TECHIMAN
PANBROS,KORLE GONNO
PANINAMISA,KINTAMPO
PANKRONO,BANTAMA
PANTANG,ADENTA
PANTANG HOSPITAL,ADENTA
PANTANG VILLAGE,OYIBI
PANTANG VILLAGE 1,ADENTA
PANTANG VILLAGE 2,ADENTA
PANTANG VILLAGE 3,ADENTA
PANTANG VILLAGE NCT,ADENTA
PAPAASE,OFAAKOR
PAPASE,AYAWASO
PAPASE MAIN,AYAWASO
PAPAYE CENTER,HEALING JESUS CATHEDRAL
PARAKOU,COTONOU
PARAKOU APARCHE,COTONOU
PARIS,BARCELONA
PARISHEI,TAMALE
PARKLANDS,NAIROBI
PARKLANDS CAPETOWN CCL,CAPE TOWN
PARKOSO,BANTAMA
PARMA,BARCELONA
PATASI BTM,BANTAMA
PATASI FAN,BANTAMA
PATERSON,LOS ANGELES
PAUL CENTRE,LAGOS
PEACE AND LOVE CENTER,HEALING JESUS CATHEDRAL
PEACE CLINIC,KORLE GONNO
PEARL,GEORGETOWN
PECS,BARCELONA
PEDU MOROCCO,CAPE COAST
PEDUASE CATHEDRAL,PEDUASE
